Timestamp,"Power (Wm) - sid = 787470 (Incomer)"
"2018-07-01 09:45:00",972.00
"2018-07-01 09:46:00",1316.00
"2018-07-01 09:47:00",1316.00
"2018-07-01 09:48:00",1316.00
"2018-07-01 09:49:00",784.00
"2018-07-01 09:50:00",804.00
"2018-07-01 09:51:00",801.00
"2018-07-01 09:52:00",753.00
"2018-07-01 09:53:00",756.00
"2018-07-01 09:54:00",795.00
"2018-07-01 09:55:00",801.00
"2018-07-01 09:56:00",795.00
"2018-07-01 09:57:00",775.00
"2018-07-01 09:58:00",803.00
"2018-07-01 09:59:00",749.00
"2018-07-01 10:00:00",780.00
"2018-07-01 10:01:00",752.00
"2018-07-01 10:02:00",723.00
"2018-07-01 10:03:00",826.00
"2018-07-01 10:04:00",787.00
"2018-07-01 10:05:00",739.00
"2018-07-01 10:06:00",721.00
"2018-07-01 10:07:00",731.00
"2018-07-01 10:08:00",777.00
"2018-07-01 10:09:00",851.00
"2018-07-01 10:10:00",933.00
"2018-07-01 10:11:00",993.00
"2018-07-01 10:12:00",1989.00
"2018-07-01 10:13:00",978.00
"2018-07-01 10:14:00",1450.00
"2018-07-01 10:15:00",1912.00
"2018-07-01 10:16:00",912.00
"2018-07-01 10:17:00",1951.00
"2018-07-01 10:18:00",1012.00
"2018-07-01 10:19:00",1020.00
"2018-07-01 10:20:00",2075.00
"2018-07-01 10:21:00",961.00
"2018-07-01 10:22:00",1295.00
"2018-07-01 10:23:00",1249.00
"2018-07-01 10:24:00",739.00
"2018-07-01 10:25:00",699.00
"2018-07-01 10:26:00",714.00
"2018-07-01 10:27:00",1500.00
"2018-07-01 10:28:00",1033.00
"2018-07-01 10:29:00",1079.00
"2018-07-01 10:30:00",940.00
"2018-07-01 10:31:00",922.00
"2018-07-01 10:32:00",934.00
"2018-07-01 10:33:00",1312.00
"2018-07-01 10:34:00",1325.00
"2018-07-01 10:35:00",940.00
"2018-07-01 10:36:00",948.00
"2018-07-01 10:37:00",921.00
"2018-07-01 10:38:00",948.00
"2018-07-01 10:39:00",996.00
"2018-07-01 10:40:00",985.00
"2018-07-01 10:41:00",899.00
"2018-07-01 10:42:00",1048.00
"2018-07-01 10:43:00",840.00
"2018-07-01 10:44:00",832.00
"2018-07-01 10:45:00",839.00
"2018-07-01 10:46:00",828.00
"2018-07-01 10:47:00",849.00
"2018-07-01 10:48:00",839.00
"2018-07-01 10:49:00",803.00
"2018-07-01 10:50:00",785.00
"2018-07-01 10:51:00",726.00
"2018-07-01 10:52:00",784.00
"2018-07-01 10:53:00",730.00
"2018-07-01 10:54:00",756.00
"2018-07-01 10:55:00",773.00
"2018-07-01 10:56:00",727.00
"2018-07-01 10:57:00",688.00
"2018-07-01 10:58:00",700.00
"2018-07-01 10:59:00",730.00
"2018-07-01 11:00:00",688.00
"2018-07-01 11:01:00",694.00
"2018-07-01 11:02:00",703.00
"2018-07-01 11:03:00",777.00
"2018-07-01 11:04:00",796.00
"2018-07-01 11:05:00",899.00
"2018-07-01 11:06:00",915.00
"2018-07-01 11:07:00",884.00
"2018-07-01 11:08:00",1478.00
"2018-07-01 11:09:00",1448.00
"2018-07-01 11:10:00",805.00
"2018-07-01 11:11:00",810.00
"2018-07-01 11:12:00",1564.00
"2018-07-01 11:13:00",818.00
"2018-07-01 11:14:00",774.00
"2018-07-01 11:15:00",848.00
"2018-07-01 11:16:00",806.00
"2018-07-01 11:17:00",749.00
"2018-07-01 11:18:00",740.00
"2018-07-01 11:19:00",742.00
"2018-07-01 11:20:00",705.00
"2018-07-01 11:21:00",679.00
"2018-07-01 11:22:00",621.00
"2018-07-01 11:23:00",653.00
"2018-07-01 11:24:00",770.00
"2018-07-01 11:25:00",807.00
"2018-07-01 11:26:00",786.00
"2018-07-01 11:27:00",816.00
"2018-07-01 11:28:00",784.00
"2018-07-01 11:29:00",791.00
"2018-07-01 11:30:00",804.00
"2018-07-01 11:31:00",780.00
"2018-07-01 11:32:00",755.00
"2018-07-01 11:33:00",649.00
"2018-07-01 11:34:00",484.00
"2018-07-01 11:35:00",507.00
"2018-07-01 11:36:00",532.00
"2018-07-01 11:37:00",698.00
"2018-07-01 11:38:00",561.00
"2018-07-01 11:39:00",553.00
"2018-07-01 11:40:00",745.00
"2018-07-01 11:41:00",734.00
