Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/1 17:35:30,0,1.4,0,254.5,1.7,237.6,340,0,0,360,50.01,0,0,8.5,1234.5
2018/7/1 17:40:30,0,1.2,0,246.7,1.5,241.5,293,0,0,312,50,0,0,8.5,1234.5
2018/7/1 17:45:30,0,1.2,0,246.4,1.5,240.9,280,0,0,299,49.99,0,0,8.5,1234.5
2018/7/1 17:50:30,0,1.2,0,246.7,1.5,242.3,297,0,0,317,49.99,0,0,8.6,1234.6
2018/7/1 17:55:30,0,1.1,0,252.3,1.4,242,265,0,0,283,49.98,0,0,8.6,1234.6
2018/7/1 18:00:30,0,1.1,0,257.3,1.5,241,284,0,0,307,49.97,0,0,8.6,1234.6
2018/7/1 18:05:30,0,1.2,0,256.9,1.5,242.4,293,0,0,312,50,0,0,8.6,1234.6
2018/7/1 18:10:30,0,1.1,0,264.6,1.4,241.9,280,0,0,297,49.99,0,0,8.6,1234.7
2018/7/1 18:15:30,0,1,0,263.6,1.4,240.8,256,0,0,276,49.98,0,0,8.7,1234.7
2018/7/1 18:20:30,0,0.9,0,264.9,1.3,240.4,239,0,0,257,49.97,0,0,8.7,1234.7
2018/7/1 18:25:30,0,0.9,0,264.2,1.3,240.7,241,0,0,262,49.97,0,0,8.7,1234.7
2018/7/1 18:30:31,0,0.9,0,252.9,1.2,241.6,225,0,0,245,50,0,0,8.7,1234.7
2018/7/1 18:35:30,0,0.9,0,253.8,1.2,240.1,222,0,0,241,50,0,0,8.8,1234.8
2018/7/1 18:40:30,0,0.9,0,262.2,1.3,240.4,233,0,0,254,50,0,0,8.8,1234.8
2018/7/1 18:45:30,0,0.8,0,262.6,1.2,240.4,206,0,0,227,49.98,0,0,8.8,1234.8
2018/7/1 18:50:30,0,1,0,264.1,1.4,236.7,254,0,0,272,49.99,0,0,8.8,1234.8
2018/7/1 18:55:31,0,0.8,0,262.4,1.2,236.6,210,0,0,231,49.97,0,0,8.8,1234.8
2018/7/1 19:00:30,0,0.9,0,263.1,1.2,238.7,220,0,0,238,49.96,0,0,8.8,1234.9
2018/7/1 19:05:31,0,0.7,0,259.5,1.1,241.8,180,0,0,198,49.95,0,0,8.9,1234.9
2018/7/1 19:10:31,0,0.5,0,259.5,0.9,242.5,135,0,0,151,49.97,0,0,8.9,1234.9
2018/7/1 19:15:31,0,0.5,0,253.7,0.9,241.2,126,0,0,140,49.95,0,0,8.9,1234.9
2018/7/1 19:20:31,0,0.5,0,254.9,0.9,241.6,123,0,0,138,49.93,0,0,8.9,1234.9
2018/7/1 19:25:34,0,0.5,0,254.7,0.9,241.8,119,0,0,134,49.93,0,0,8.9,1234.9
2018/7/1 19:30:32,0,0.5,0,251.2,0.9,243.5,122,0,0,137,49.94,0,0,8.9,1234.9
2018/7/1 19:35:31,0,0.5,0,252.8,0.9,243.9,121,0,0,139,49.94,0,0,8.9,1234.9
2018/7/1 19:40:31,0,0.6,0,252.2,0.9,244.3,138,0,0,160,49.95,0,0,8.9,1234.9
2018/7/1 19:45:31,0,0.6,0,252.3,0.9,244.8,135,0,0,156,49.95,0,0,9,1235
2018/7/1 19:50:31,0,0.6,0,243.2,0.9,243.5,131,0,0,147,49.96,0,0,9,1235
